Year,Month,Day,0830-0900,0900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,0000-0100,0100-0200,0200-0300,0300-0400,0400-0500,0500-0600,0600-0700,0700-0800,0800-0830,Daily,ROB Total
2022,May,13,5.5,8,0.5,6.1,1.7,21.3,1.1,1.5,1.2,4.2,5.4,4,6.1,3.5,2.4,0.4,0.5,0,0,0.1,1.5,0.2,0,0.1,0,75.3,76
2022,May,14,0.2,9.9,0.2,17.1,4.8,3.7,XX,XX,4.1,0.4,2.2,3.1,1.8,0.1,0.1,0+,0.5,1.1,0,2.5,0.6,0.2,0.3,0,0,XX,71.3
2022,May,15,0,0,0,0,0,0,0,0,0.2,0.9,3.5,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0.8,6.2,6.2
2022,May,16,0,0,0.1,0,0,0,XX,XX,0,0.1,0,0.3,0.3,0,0,0.1,0.2,1.2,0.8,1,5.4,0,0.1,0,0,XX,10.9
2022,May,17,0,2,6.3,0+,0,1.1,0.7,0+,0,3.1,0,2.6,0.9,0.1,0+,0.5,0,0,0,0,0,0,0,0.6,0,17.9,17.7
2022,May,18,4.2,0.5,0.2,1.1,0,6.2,2.6,0.1,0,0.1,0,6.7,1.3,0.9,15.7,2.4,0+,0,0.8,0.2,0,0.2,1.3,0,0.5,45,46
2022,May,19,0.3,0,0+,XX,XX,0.9,0,0+,0,0,0,0,0,0,0+,0,0,1.7,5.6,0.1,0,0.4,0.9,0.2,0,XX,10.2
2022,May,20,0,1.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,3.2,0+,0,7.6,7.6
2022,May,21,0,0,0.7,0,0,0,0,0,0,0.1,0,0.2,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,1.4,1.1
2022,May,22,0,0,0,0,0,0,0,0,0+,0.1,2.8,0,0,0,0.2,0,0,0,0,0,0,0,0.7,0.5,1.3,5.6,5.2
2022,May,23,0,0,0.7,1.2,0,0+,0,0,0+,0,0.4,0,2.1,0.2,0.2,0,2.1,1.1,1.2,0,0,0.2,1.4,4,0,14.8,14.8
2022,May,24,0,2.6,11,3.9,0.3,0,5.5,14.9,7.4,2.2,7.1,4.8,4.9,2.3,0.9,0,2.2,0.5,0.1,0,0,0.1,0,0.1,0,70.8,72.8
2022,May,25,0,0,0,1.7,0,3.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,6.8,6.4
2022,May,26,0,0,2.5,2.3,0.8,3.4,0.7,0,0.3,0,0,0,0,0,0.5,0,0.8,0,0.7,0.2,0,1,3.6,1,0,17.8,17.7
2022,May,27,0,0,0,0.8,0,0,1.7,0.2,0,4.1,0.2,0,0.3,0.4,0,0,0.4,0.7,0,1.1,1.8,0.1,0.1,0.2,0,12.1,11.9
2022,May,28,0,4.9,0,1,0.7,0,0,0+,2.7,0,0.7,0,0,0,0,0,0,5.2,1.2,0.7,0.1,0,0,0.1,0.7,18,17.7
2022,May,29,0+,0.1,0,5.3,0.6,1,5.3,1.3,0.3,0.1,0,0,0,0,0,3.8,0.7,0,0,0.2,0,0,0,0.2,0,18.9,18.7
2022,May,30,0+,0.1,0.1,6.6,0,0,0.5,0.2,0,0.6,1.9,6.4,0.1,0.6,1.3,0.1,0+,0,4.3,16.4,2.4,6.3,2.1,7.3,15.6,72.9,75.3
2022,May,31,10.7,17.2,12.9,4.8,2.3,4,2.5,0.3,0,0.4,2,1.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,58.6,60.5
2023,April,1,0,0,0,0,0,0,0,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,Tr
2023,April,2,0,0,0,0,0,1.1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,5.8
2023,April,3,0,0,0,0,0,0,8.5,1,0,0.2,9.4,5.3,0,3.9,1.3,0,0,0,0,0,0,0,0,0,0,29.6,29.6
2023,April,4,0,0,0,0,0,13.6,10.2,5.8,10.5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,43.7
2023,April,5,0,0,0,0,0,0,xx,xx,xx,xx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xx,5.1
2023,April,6,0,0,0,0,0,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,Tr
2023,April,7,0,0,0,0,0,0,0,0,0,0,15.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,24.1
2023,April,8,0,0,0,0,0,0,0,18.7,4,2.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
2023,April,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,April,10,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.4
2023,April,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,April,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,April,13,0,0,0,0,0,0,0,0,0,0,0.4,14.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5
2023,April,14,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
2023,April,15,0,0,0,0,0,0,0,0.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2023,April,16,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,13.5
2023,April,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,April,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,April,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,April,20,0,0,0,0,0,0,0,0,3.9,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
